   6464.0000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   84.4790       6.47561       9.13699       6.44836       9.13154      0.272541E-01  0.544089E-02   15.5799       3.45880       3.45482       3.30722       2.98956       2.36951    
  0.109648E-03   81.3514       6.26970       8.83907       6.24133       8.83327      0.283750E-01  0.580079E-02   15.0746       3.35166       3.34742       3.20225       2.88967       2.28359    
  0.120226E-03   78.3737       6.07251       8.55386       6.04294       8.54766      0.295707E-01  0.619924E-02   14.5906       3.24893       3.24442       3.10162       2.79401       2.20161    
  0.131825E-03   75.4557       5.87881       8.27372       5.84801       8.26711      0.307995E-01  0.661536E-02   14.1151       3.14798       3.14317       3.00272       2.70003       2.12121    
  0.144543E-03   72.6230       5.69010       8.00086       5.65802       7.99380      0.320756E-01  0.705678E-02   13.6518       3.04955       3.04444       2.90630       2.60847       2.04306    
  0.158489E-03   69.9036       5.50806       7.73769       5.47464       7.73015      0.334215E-01  0.753686E-02   13.2048       2.95450       2.94906       2.81319       2.52014       1.96790    
  0.173779E-03   67.2391       5.32927       7.47923       5.29446       7.47119      0.348034E-01  0.803715E-02   12.7657       2.86109       2.85531       2.72169       2.43338       1.89419    
  0.190545E-03   64.6790       5.15666       7.22974       5.12041       7.22117      0.362569E-01  0.857847E-02   12.3416       2.77081       2.76466       2.63325       2.34960       1.82325    
  0.208928E-03   62.1983       4.98880       6.98712       4.95102       6.97796      0.377712E-01  0.915571E-02   11.9290       2.68293       2.67639       2.54715       2.26810       1.75442    
  0.229085E-03   59.7691       4.82400       6.74894       4.78468       6.73918      0.393251E-01  0.975641E-02   11.5239       2.59660       2.58965       2.46257       2.18808       1.68696    
  0.251186E-03   57.4597       4.66640       6.52116       4.62542       6.51074      0.409810E-01  0.104195E-01   11.1362       2.51390       2.50651       2.38154       2.11152       1.62269    
  0.275420E-03   55.2005       4.51184       6.29776       4.46916       6.28665      0.426845E-01  0.111126E-01   10.7558       2.43274       2.42489       2.30201       2.03642       1.55975    
  0.301992E-03   53.0086       4.36136       6.08024       4.31691       6.06839      0.444520E-01  0.118460E-01   10.3853       2.35363       2.34530       2.22448       1.96327       1.49861    
  0.331127E-03   50.9102       4.21657       5.87091       4.17025       5.85827      0.463184E-01  0.126439E-01   10.0285       2.27740       2.26854       2.14975       1.89285       1.43998    
  0.363073E-03   48.8561       4.07450       5.66548       4.02626       5.65200      0.482348E-01  0.134748E-01   9.67827       2.20253       2.19313       2.07634       1.82373       1.38253    
  0.398101E-03   46.8847       3.93751       5.46734       3.88726       5.45297      0.502489E-01  0.143713E-01   9.34023       2.13023       2.12025       2.00543       1.75703       1.32730    
  0.436509E-03   44.9789       3.80458       5.27503       3.75223       5.25970      0.523496E-01  0.153276E-01   9.01193       2.05997       2.04937       1.93650       1.69226       1.27383    
  0.478622E-03   43.1146       3.67422       5.08639       3.61972       5.07006      0.545055E-01  0.163221E-01   8.68978       1.99100       1.97976       1.86882       1.62872       1.22148    
  0.524798E-03   41.3452       3.54980       4.90621       3.49299       4.88879      0.568012E-01  0.174160E-01   8.38179       1.92501       1.91308       1.80403       1.56799       1.17168    
  0.575429E-03   39.6176       3.42800       4.72978       3.36883       4.71122      0.591656E-01  0.185602E-01   8.08005       1.86033       1.84769       1.74051       1.50850       1.12302    
  0.630945E-03   37.9427       3.30953       4.55808       3.24791       4.53831      0.616169E-01  0.197676E-01   7.78622       1.79733       1.78393       1.67861       1.45058       1.07577    
  0.691816E-03   36.3441       3.19591       4.39327       3.13170       4.37219      0.642087E-01  0.210805E-01   7.50389       1.73675       1.72254       1.61904       1.39495       1.03060    
  0.758561E-03   34.7810       3.08455       4.23167       3.01768       4.20922      0.668705E-01  0.224465E-01   7.22690       1.67730       1.66226       1.56057       1.34038      0.986387    
  0.831745E-03   33.2828       2.97737       4.07596       2.90770       4.05204      0.696660E-01  0.239154E-01   6.95975       1.61994       1.60401       1.50410       1.28777      0.943936    
  0.911989E-03   31.8383       2.87367       3.92516       2.80108       3.89968      0.725855E-01  0.254816E-01   6.70076       1.56431       1.54744       1.44929       1.23678      0.902947    
  0.999975E-03   30.4269       2.77212       3.77739       2.69653       3.75028      0.755824E-01  0.271090E-01   6.44681       1.50974       1.49191       1.39551       1.18679      0.862858    
  0.109645E-02   29.0899       2.67545       3.63647       2.59667       3.60758      0.787721E-01  0.288911E-01   6.20425       1.45760       1.43872       1.34405       1.13907      0.824802    
  0.120223E-02   27.7874       2.58105       3.49874       2.49899       3.46798      0.820615E-01  0.307549E-01   5.96697       1.40659       1.38663       1.29366       1.09240      0.787687    
  0.131822E-02   26.5256       2.48937       3.36479       2.40390       3.33207      0.854692E-01  0.327157E-01   5.73597       1.35691       1.33583       1.24456       1.04698      0.751687    
  0.144540E-02   25.3256       2.40182       3.23660       2.31274       3.20176      0.890780E-01  0.348441E-01   5.51449       1.30928       1.28699       1.19739       1.00346      0.717381    
  0.158485E-02   24.1536       2.31616       3.11105       2.22338       3.07399      0.927853E-01  0.370556E-01   5.29737       1.26257       1.23904       1.15110      0.960806      0.683845    
  0.173775E-02   23.0321       2.23393       2.99024       2.13725       2.95081      0.966769E-01  0.394231E-01   5.08806       1.21754       1.19271       1.10641      0.919711      0.651695    
  0.190540E-02   21.9540       2.15468       2.87355       2.05393       2.83160      0.100747      0.419441E-01   4.88554       1.17396       1.14776       1.06310      0.879969      0.620743    
  0.208923E-02   20.9019       2.07723       2.75934       1.97230       2.71478      0.104927      0.445592E-01   4.68708       1.13126       1.10365       1.02061      0.841039      0.590510    
  0.229079E-02   19.9077       2.00380       2.65066       1.89443       2.60325      0.109374      0.474063E-01   4.49768       1.09051       1.06141      0.979972      0.803920      0.561876    
  0.251180E-02   18.9414       1.93235       2.54469       1.81839       2.49430      0.113967      0.503806E-01   4.31269       1.05070       1.02006      0.940225      0.767682      0.534017    
