  10.0000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.331118E-02   6.90434      0.712984      0.813241      0.622042      0.779038      0.909427E-01  0.342030E-01   1.40108      0.457566      0.431819      0.347219      0.164476       0.00000    
  0.363064E-02   6.75067      0.703272      0.796923      0.608285      0.760126      0.949871E-01  0.367969E-01   1.36841      0.448986      0.421570      0.338556      0.159299       0.00000    
  0.398091E-02   6.59826      0.694042      0.780997      0.594790      0.741395      0.992521E-01  0.396019E-01   1.33618      0.440602      0.411418      0.329977      0.154188       0.00000    
  0.436498E-02   6.44659      0.685099      0.765305      0.581449      0.722770      0.103650      0.425346E-01   1.30422      0.432334      0.401321      0.321449      0.149115       0.00000    
  0.478610E-02   6.29650      0.676827      0.750154      0.568453      0.704373      0.108374      0.457813E-01   1.27283      0.424325      0.391344      0.313028      0.144128       0.00000    
  0.524785E-02   6.14719      0.668923      0.735299      0.555635      0.686086      0.113288      0.492132E-01   1.24172      0.416449      0.381425      0.304660      0.139186       0.00000    
  0.575415E-02   5.99869      0.661407      0.720754      0.543005      0.667915      0.118402      0.528393E-01   1.21092      0.408714      0.371567      0.296348      0.134291       0.00000    
  0.630929E-02   5.85146      0.654588      0.706766      0.530687      0.649928      0.123901      0.568379E-01   1.18061      0.401211      0.361803      0.288125      0.129475       0.00000    
  0.691799E-02   5.70474      0.648092      0.693035      0.518504      0.632017      0.129588      0.610171E-01   1.15052      0.393809      0.352079      0.279939      0.124695       0.00000    
  0.758542E-02   5.55888      0.642166      0.679757      0.506555      0.614237      0.135611      0.655200E-01   1.12079      0.386579      0.342420      0.271817      0.119976       0.00000    
  0.831724E-02   5.41371      0.636822      0.666941      0.494820      0.596568      0.142002      0.703725E-01   1.09139      0.379504      0.332817      0.263751      0.115316       0.00000    
  0.911966E-02   5.26887      0.631808      0.654386      0.483200      0.578958      0.148608      0.754283E-01   1.06216      0.372512      0.323244      0.255714      0.110688       0.00000    
  0.999950E-02   5.12417      0.627492      0.642379      0.471788      0.561434      0.155704      0.809445E-01   1.03322      0.365674      0.313711      0.247723      0.106114       0.00000    
  0.109642E-01   4.97997      0.623551      0.630674      0.460491      0.543978      0.163060      0.866963E-01   1.00447      0.358908      0.304211      0.239766      0.101583       0.00000    
  0.120220E-01   4.83636      0.620296      0.619520      0.449382      0.526624      0.170914      0.928955E-01  0.976006      0.352260      0.294760      0.231865      0.971218E-01   0.00000    
  0.131819E-01   4.69285      0.617634      0.608840      0.438397      0.509334      0.179237      0.995061E-01  0.947731      0.345683      0.285335      0.223999      0.927139E-01   0.00000    
  0.144536E-01   4.54929      0.615566      0.598638      0.427510      0.492098      0.188056      0.106540      0.919608      0.339151      0.275933      0.216164      0.883585E-01   0.00000    
  0.158481E-01   4.40555      0.614057      0.588886      0.416689      0.474904      0.197368      0.113982      0.891593      0.332637      0.266548      0.208357      0.840520E-01   0.00000    
  0.173770E-01   4.26150      0.613110      0.579589      0.405908      0.457748      0.207202      0.121841      0.863656      0.326113      0.257175      0.200574      0.797951E-01   0.00000    
  0.190535E-01   4.11695      0.612785      0.570799      0.395137      0.440628      0.217647      0.130171      0.835766      0.319544      0.247812      0.192816      0.755939E-01   0.00000    
  0.208917E-01   3.97176      0.613069      0.562506      0.384339      0.423538      0.228730      0.138967      0.807877      0.312891      0.238457      0.185081      0.714486E-01   0.00000    
  0.229073E-01   3.82581      0.613923      0.554679      0.373478      0.406475      0.240445      0.148204      0.779953      0.306120      0.229107      0.177368      0.673577E-01   0.00000    
  0.251174E-01   3.67900      0.615344      0.547318      0.362516      0.389437      0.252828      0.157881      0.751953      0.299193      0.219761      0.169676      0.633236E-01   0.00000    
  0.275406E-01   3.53110      0.617386      0.540465      0.351396      0.372429      0.265990      0.168036      0.723825      0.292040      0.210420      0.162009      0.593559E-01   0.00000    
  0.301976E-01   3.38202      0.620018      0.534094      0.340072      0.355454      0.279946      0.178640      0.695526      0.284615      0.201084      0.154370      0.554568E-01   0.00000    
  0.331110E-01   3.23175      0.623193      0.528161      0.328510      0.338516      0.294683      0.189645      0.667026      0.276883      0.191757      0.146759      0.516267E-01   0.00000    
  0.363055E-01   3.08026      0.626898      0.522649      0.316665      0.321625      0.310233      0.201025      0.638290      0.268794      0.182442      0.139182      0.478709E-01   0.00000    
  0.398081E-01   2.92739      0.631167      0.517573      0.304452      0.304798      0.326715      0.212775      0.609250      0.260248      0.173148      0.131650      0.442047E-01   0.00000    
  0.436487E-01   2.77324      0.635950      0.512871      0.291838      0.288050      0.344112      0.224821      0.579888      0.251206      0.163881      0.124169      0.406319E-01   0.00000    
  0.478598E-01   2.61799      0.641187      0.508479      0.278804      0.271397      0.362383      0.237082      0.550201      0.241649      0.154651      0.116746      0.371552E-01   0.00000    
  0.524772E-01   2.46179      0.646845      0.504340      0.265316      0.254860      0.381529      0.249480      0.520176      0.231534      0.145469      0.109391      0.337827E-01   0.00000    
  0.575400E-01   2.30480      0.652921      0.500401      0.251294      0.238484      0.401627      0.261917      0.489777      0.220757      0.136355      0.102128      0.305372E-01   0.00000    
  0.630913E-01   2.14744      0.659333      0.496550      0.236752      0.222293      0.422581      0.274257      0.459046      0.209330      0.127326      0.949675E-01  0.274222E-01   0.00000    
  0.691782E-01   1.99014      0.665998      0.492679      0.221721      0.206315      0.444277      0.286364      0.428036      0.197280      0.118395      0.879204E-01  0.244412E-01   0.00000    
  0.758523E-01   1.83339      0.672842      0.488668      0.206221      0.190585      0.466621      0.298083      0.396806      0.184617      0.109582      0.810037E-01  0.216036E-01   0.00000    
  0.831703E-01   1.67801      0.679770      0.484326      0.190250      0.175184      0.489520      0.309142      0.365434      0.171311      0.100928      0.742559E-01  0.189384E-01   0.00000    
  0.911943E-01   1.52469      0.686638      0.479487      0.173922      0.160140      0.512715      0.319347      0.334062      0.157478      0.924516E-01  0.676881E-01  0.164442E-01   0.00000    
  0.999925E-01   1.37369      0.693309      0.473997      0.157331      0.145448      0.535978      0.328549      0.302778      0.143224      0.841521E-01  0.612955E-01  0.141067E-01   0.00000    
  0.109639       1.22648      0.699590      0.467642      0.140638      0.131206      0.558952      0.336436      0.271844      0.128684      0.760826E-01  0.551235E-01  0.119539E-01   0.00000    
  0.120217       1.08462      0.705147      0.460039      0.124019      0.117527      0.581128      0.342512      0.241546      0.114006      0.683042E-01  0.492232E-01  0.100133E-01   0.00000    
  0.131815      0.948536      0.709707      0.451027      0.107668      0.104405      0.602039      0.346622      0.212074      0.994044E-01  0.608175E-01  0.435876E-01  0.826411E-02   0.00000    
  0.144533      0.819591      0.712792      0.440250      0.918369E-01  0.919214E-01  0.620955      0.348329      0.183758      0.851209E-01  0.536696E-01  0.382518E-01  0.671600E-02   0.00000    
  0.158477      0.698458      0.713959      0.427510      0.767402E-01  0.801000E-01  0.637219      0.347410      0.156840      0.713822E-01  0.468772E-01  0.332228E-01  0.535808E-02   0.00000    
  0.173766      0.586489      0.712454      0.412428      0.626700E-01  0.690259E-01  0.649784      0.343402      0.131696      0.584756E-01  0.404902E-01  0.285358E-01  0.419444E-02   0.00000    
