   4.0000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   5.50545      0.820831       1.15821      0.804009       1.15677      0.168225E-01  0.144362E-02   1.96078      0.662494      0.660944      0.495823      0.141515       0.00000    
  0.109648E-03   5.49705      0.809515       1.14064      0.791995       1.13908      0.175199E-01  0.155825E-02   1.93107      0.652422      0.650757      0.488320      0.139573       0.00000    
  0.120226E-03   5.48650      0.798428       1.12337      0.780163       1.12168      0.182646E-01  0.168805E-02   1.90184      0.642543      0.640750      0.480931      0.137620       0.00000    
  0.131825E-03   5.47509      0.787438       1.10623      0.768408       1.10440      0.190301E-01  0.182498E-02   1.87281      0.632745      0.630816      0.473587      0.135663       0.00000    
  0.144543E-03   5.46246      0.776587       1.08927      0.756761       1.08730      0.198256E-01  0.197213E-02   1.84406      0.623060      0.620987      0.466310      0.133701       0.00000    
  0.158489E-03   5.44821      0.765930       1.07256      0.745265       1.07042      0.206655E-01  0.213530E-02   1.81569      0.613531      0.611299      0.459123      0.131733       0.00000    
  0.173779E-03   5.43318      0.755371       1.05597      0.733843       1.05366      0.215282E-01  0.230697E-02   1.78750      0.604080      0.601681      0.451981      0.129763       0.00000    
  0.190545E-03   5.41667      0.745002       1.03962      0.722565       1.03712      0.224364E-01  0.249610E-02   1.75969      0.594778      0.592197      0.444924      0.127788       0.00000    
  0.208928E-03   5.39903      0.734787       1.02345      0.711403       1.02075      0.233835E-01  0.270093E-02   1.73215      0.585593      0.582817      0.437935      0.125810       0.00000    
  0.229085E-03   5.38066      0.724672       1.00741      0.700316       1.00449      0.243557E-01  0.291603E-02   1.70481      0.576485      0.573504      0.430988      0.123831       0.00000    
  0.251186E-03   5.36060      0.714804      0.991657      0.689410      0.988497      0.253933E-01  0.315915E-02   1.67791      0.567561      0.564351      0.424146      0.121849       0.00000    
  0.275420E-03   5.33984      0.705046      0.976032      0.678585      0.972615      0.264614E-01  0.341614E-02   1.65120      0.558718      0.555267      0.417348      0.119867       0.00000    
  0.301992E-03   5.31813      0.695437      0.960577      0.667867      0.956885      0.275706E-01  0.369178E-02   1.62475      0.549982      0.546276      0.410610      0.117885       0.00000    
  0.331127E-03   5.29511      0.686049      0.945369      0.657305      0.941371      0.287435E-01  0.399801E-02   1.59868      0.541403      0.537414      0.403957      0.115903       0.00000    
  0.363073E-03   5.27146      0.676769      0.930281      0.646820      0.925961      0.299486E-01  0.432024E-02   1.57278      0.532899      0.528615      0.397346      0.113921       0.00000    
  0.398101E-03   5.24665      0.667698      0.915420      0.636481      0.910745      0.312169E-01  0.467455E-02   1.54723      0.524539      0.519934      0.390812      0.111941       0.00000    
  0.436509E-03   5.22092      0.658805      0.900748      0.626263      0.895689      0.325415E-01  0.505897E-02   1.52195      0.516299      0.511348      0.384341      0.109964       0.00000    
  0.478622E-03   5.19462      0.650025      0.886195      0.616123      0.880732      0.339020E-01  0.546273E-02   1.49686      0.508136      0.502822      0.377910      0.107988       0.00000    
  0.524798E-03   5.16697      0.641523      0.871928      0.606170      0.866010      0.353537E-01  0.591809E-02   1.47218      0.500154      0.494437      0.371572      0.106016       0.00000    
  0.575429E-03   5.13874      0.633153      0.857793      0.596303      0.851392      0.368506E-01  0.640032E-02   1.44770      0.492256      0.486115      0.365277      0.104047       0.00000    
  0.630945E-03   5.10976      0.624950      0.843824      0.586545      0.836908      0.384045E-01  0.691649E-02   1.42345      0.484464      0.477873      0.359035      0.102082       0.00000    
  0.691816E-03   5.07970      0.617007      0.830110      0.576956      0.822619      0.400513E-01  0.749087E-02   1.39957      0.476834      0.469747      0.352872      0.100122       0.00000    
  0.758561E-03   5.04914      0.609192      0.816517      0.567447      0.808422      0.417444E-01  0.809529E-02   1.37587      0.469281      0.461676      0.346745      0.981661E-01   0.00000    
  0.831745E-03   5.01765      0.601617      0.803152      0.558090      0.794394      0.435266E-01  0.875834E-02   1.35248      0.461874      0.453706      0.340687      0.962162E-01   0.00000    
  0.911989E-03   4.98538      0.594259      0.789987      0.548867      0.780508      0.453919E-01  0.947890E-02   1.32938      0.454594      0.445821      0.334687      0.942725E-01   0.00000    
  0.999975E-03   4.95262      0.587035      0.776946      0.539726      0.766710      0.473092E-01  0.102357E-01   1.30644      0.447393      0.437988      0.328722      0.923326E-01   0.00000    
  0.109645E-02   4.91877      0.580139      0.764199      0.530782      0.753112      0.493569E-01  0.110869E-01   1.28389      0.440380      0.430273      0.322838      0.904025E-01   0.00000    
  0.120223E-02   4.88440      0.573408      0.751596      0.521935      0.739606      0.514729E-01  0.119899E-01   1.26154      0.433458      0.422614      0.316993      0.884775E-01   0.00000    
  0.131822E-02   4.84942      0.566873      0.739166      0.513203      0.726211      0.536697E-01  0.129541E-01   1.23941      0.426644      0.415020      0.311192      0.865587E-01   0.00000    
  0.144540E-02   4.81348      0.560662      0.727013      0.504657      0.712984      0.560056E-01  0.140282E-01   1.21764      0.420006      0.407525      0.305459      0.846501E-01   0.00000    
  0.158485E-02   4.77709      0.554608      0.714992      0.496198      0.699834      0.584103E-01  0.151582E-01   1.19603      0.413451      0.400075      0.299759      0.827465E-01   0.00000    
  0.173775E-02   4.73989      0.548845      0.703214      0.487901      0.686820      0.609441E-01  0.163943E-01   1.17472      0.407049      0.392706      0.294114      0.808522E-01   0.00000    
  0.190540E-02   4.70195      0.543358      0.691662      0.479753      0.673923      0.636049E-01  0.177391E-01   1.15368      0.400786      0.385406      0.288517      0.789667E-01   0.00000    
  0.208923E-02   4.66357      0.538039      0.680248      0.471695      0.661098      0.663439E-01  0.191509E-01   1.13279      0.394609      0.378147      0.282950      0.770864E-01   0.00000    
  0.229079E-02   4.62415      0.533125      0.669159      0.463849      0.648426      0.692761E-01  0.207335E-01   1.11228      0.388630      0.370979      0.277446      0.752188E-01   0.00000    
  0.251180E-02   4.58419      0.528428      0.658241      0.456112      0.635827      0.723156E-01  0.224138E-01   1.09194      0.382754      0.363854      0.271973      0.733576E-01   0.00000    
  0.275413E-02   4.54364      0.523971      0.647513      0.448496      0.623310      0.754747E-01  0.242033E-01   1.07181      0.376993      0.356777      0.266533      0.715036E-01   0.00000    
  0.301984E-02   4.50205      0.519937      0.637114      0.441085      0.610917      0.788515E-01  0.261965E-01   1.05200      0.371424      0.349772      0.261145      0.696618E-01   0.00000    
  0.331118E-02   4.45997      0.516104      0.626869      0.433769      0.598578      0.823351E-01  0.282916E-01   1.03235      0.365944      0.342798      0.255780      0.678255E-01   0.00000    
  0.363064E-02   4.41701      0.512638      0.616906      0.426623      0.586331      0.860155E-01  0.305752E-01   1.01295      0.360624      0.335878      0.250453      0.659991E-01   0.00000    
  0.398091E-02   4.37314      0.509538      0.607221      0.419637      0.574162      0.899006E-01  0.330588E-01  0.993799      0.355455      0.329003      0.245158      0.641820E-01   0.00000    
  0.436498E-02   4.32874      0.506657      0.597701      0.412747      0.562037      0.939093E-01  0.356636E-01  0.974784      0.350377      0.322155      0.239883      0.623702E-01   0.00000    
  0.478610E-02   4.28304      0.504293      0.588571      0.406072      0.550002      0.982213E-01  0.385689E-01  0.956074      0.345502      0.315358      0.234645      0.605705E-01   0.00000    
  0.524785E-02   4.23659      0.502223      0.579660      0.399510      0.538007      0.102712      0.416532E-01  0.937517      0.340733      0.308583      0.229423      0.587770E-01   0.00000    
  0.575415E-02   4.18934      0.500458      0.570978      0.393067      0.526052      0.107391      0.449252E-01  0.919119      0.336077      0.301833      0.224220      0.569900E-01   0.00000    
  0.630929E-02   4.14056      0.499257      0.562715      0.386824      0.514154      0.112433      0.485613E-01  0.900978      0.331610      0.295114      0.219040      0.552137E-01   0.00000    
  0.691799E-02   4.09102      0.498320      0.554650      0.380668      0.502275      0.117653      0.523753E-01  0.882943      0.327226      0.288406      0.213869      0.534420E-01   0.00000    
  0.758542E-02   4.04013      0.497854      0.546936      0.374662      0.490426      0.123192      0.565096E-01  0.865089      0.322984      0.281715      0.208711      0.516783E-01   0.00000    
  0.831724E-02   3.98773      0.497878      0.539587      0.368794      0.478593      0.129084      0.609938E-01  0.847387      0.318872      0.275033      0.203560      0.499220E-01   0.00000    
  0.911966E-02   3.93443      0.498187      0.532450      0.363002      0.466766      0.135185      0.656836E-01  0.829768      0.314832      0.268354      0.198413      0.481695E-01   0.00000    
  0.999950E-02   3.87898      0.499135      0.525791      0.357359      0.454936      0.141776      0.708547E-01  0.812296      0.310936      0.261672      0.193265      0.464232E-01   0.00000    
  0.109642E-01   3.82247      0.500387      0.519362      0.351776      0.443102      0.148611      0.762595E-01  0.794878      0.307094      0.254987      0.188116      0.446819E-01   0.00000    
  0.120220E-01   3.76383      0.502218      0.513370      0.346294      0.431252      0.155925      0.821176E-01  0.777546      0.303345      0.248291      0.182961      0.429489E-01   0.00000    
  0.131819E-01   3.70311      0.504578      0.507779      0.340877      0.419374      0.163701      0.884048E-01  0.760251      0.299655      0.241577      0.177796      0.412216E-01   0.00000    
  0.144536E-01   3.64013      0.507473      0.502597      0.335503      0.407458      0.171970      0.951387E-01  0.742961      0.296003      0.234841      0.172617      0.394999E-01   0.00000    
  0.158481E-01   3.57487      0.510877      0.497806      0.330144      0.395500      0.180733      0.102307      0.725644      0.292361      0.228078      0.167422      0.377836E-01   0.00000    
  0.173770E-01   3.50715      0.514799      0.493417      0.324777      0.383491      0.190023      0.109926      0.708267      0.288704      0.221284      0.162207      0.360728E-01   0.00000    
  0.190535E-01   3.43649      0.519300      0.489477      0.319364      0.371418      0.199936      0.118059      0.690782      0.284996      0.214451      0.156967      0.343685E-01   0.00000    
  0.208917E-01   3.36271      0.524374      0.485985      0.313869      0.359274      0.210505      0.126711      0.673143      0.281198      0.207574      0.151700      0.326711E-01   0.00000    
  0.229073E-01   3.28580      0.529988      0.482919      0.308256      0.347059      0.221732      0.135860      0.655315      0.277275      0.200653      0.146406      0.309811E-01   0.00000    
  0.251174E-01   3.20553      0.536145      0.480280      0.302485      0.334766      0.233660      0.145514      0.637251      0.273185      0.193684      0.141082      0.292995E-01   0.00000    
  0.275406E-01   3.12129      0.542901      0.478114      0.296483      0.322383      0.246417      0.155731      0.618866      0.268855      0.186660      0.135724      0.276286E-01   0.00000    
  0.301976E-01   3.03296      0.550232      0.476400      0.290200      0.309910      0.260032      0.166490      0.600110      0.264230      0.179578      0.130332      0.259702E-01   0.00000    
  0.331110E-01   2.94058      0.558096      0.475100      0.283595      0.297351      0.274501      0.177749      0.580946      0.259269      0.172442      0.124909      0.243257E-01   0.00000    
  0.363055E-01   2.84395      0.566484      0.474201      0.276612      0.284707      0.289873      0.189494      0.561319      0.253914      0.165252      0.119455      0.226974E-01   0.00000    
  0.398081E-01   2.74242      0.575437      0.473719      0.269137      0.271972      0.306300      0.201747      0.541109      0.248046      0.158002      0.113969      0.210907E-01   0.00000    
  0.436487E-01   2.63608      0.584908      0.473599      0.261123      0.259156      0.323785      0.214443      0.520279      0.241614      0.150699      0.108457      0.195086E-01   0.00000    
  0.478598E-01   2.52511      0.594842      0.473778      0.252536      0.246273      0.342306      0.227505      0.498809      0.234583      0.143349      0.102924      0.179537E-01   0.00000    
  0.524772E-01   2.40952      0.605212      0.474202      0.243323      0.233333      0.361889      0.240869      0.476656      0.226893      0.135958      0.973754E-01  0.164303E-01   0.00000    
  0.575400E-01   2.28886      0.616025      0.474818      0.233350      0.220348      0.382674      0.254470      0.453698      0.218403      0.128530      0.918183E-01  0.149477E-01   0.00000    
  0.630913E-01   2.16363      0.627204      0.475514      0.222615      0.207342      0.404589      0.268172      0.429957      0.209106      0.121079      0.862632E-01  0.135095E-01   0.00000    
  0.691782E-01   2.03436      0.638677      0.476178      0.211130      0.194338      0.427547      0.281840      0.405468      0.199011      0.113618      0.807207E-01  0.121193E-01   0.00000    
  0.758523E-01   1.90146      0.650380      0.476687      0.198888      0.181363      0.451492      0.295324      0.380252      0.188106      0.106161      0.752024E-01  0.107825E-01   0.00000    
  0.831703E-01   1.76516      0.662242      0.476841      0.185817      0.168458      0.476424      0.308382      0.354276      0.176305      0.987302E-01  0.697281E-01  0.951271E-02   0.00000    
  0.911943E-01   1.62649      0.674134      0.476460      0.172028      0.155659      0.502106      0.320801      0.327686      0.163716      0.913460E-01  0.643128E-01  0.831198E-02   0.00000    
  0.999925E-01   1.48633      0.685930      0.475375      0.157627      0.142988      0.528303      0.332387      0.300615      0.150448      0.840229E-01  0.589655E-01  0.717826E-02   0.00000    
  0.109639       1.34580      0.697463      0.473356      0.142735      0.130506      0.554728      0.342850      0.273241      0.136612      0.767935E-01  0.537123E-01  0.612253E-02   0.00000    
  0.120217       1.20618      0.708445      0.469984      0.127471      0.118290      0.580974      0.351694      0.245761      0.122312      0.697015E-01  0.485883E-01  0.515929E-02   0.00000    
  0.131815       1.06876      0.718617      0.465068      0.112079      0.106370      0.606538      0.358698      0.218449      0.107796      0.627662E-01  0.436043E-01  0.428263E-02   0.00000    
  0.144533      0.935146      0.727528      0.458202      0.968070E-01  0.948230E-01  0.630721      0.363379      0.191630      0.933080E-01  0.560311E-01  0.387919E-01  0.349905E-02   0.00000    
  0.158477      0.806619      0.734738      0.449144      0.819188E-01  0.836917E-01  0.652819      0.365452      0.165610      0.791134E-01  0.495236E-01  0.341681E-01  0.280543E-02   0.00000    
  0.173766      0.684971      0.739493      0.437436      0.677344E-01  0.730636E-01  0.671758      0.364372      0.140798      0.655288E-01  0.432949E-01  0.297686E-01  0.220558E-02   0.00000    
  0.190530      0.571252      0.741127      0.422890      0.545024E-01  0.629781E-01  0.686625      0.359911      0.117480      0.528095E-01  0.373703E-01  0.256078E-01  0.169289E-02   0.00000    
  0.208912      0.467189      0.738470      0.405065      0.425480E-01  0.535302E-01  0.695922      0.351535      0.960781E-01  0.412802E-01  0.318065E-01  0.217237E-01  0.126775E-02   0.00000    
  0.229067      0.373325      0.730631      0.383916      0.320205E-01  0.447478E-01  0.698610      0.339168      0.767683E-01  0.311002E-01  0.266228E-01  0.181250E-01  0.920278E-03   0.00000    
  0.251167      0.291020      0.716003      0.359139      0.231533E-01  0.367267E-01  0.692850      0.322412      0.598801E-01  0.225059E-01  0.218775E-01  0.148492E-01  0.647368E-03   0.00000    
  0.275399      0.220080      0.693644      0.330947      0.159184E-01  0.294748E-01  0.677726      0.301473      0.453931E-01  0.154814E-01  0.175781E-01  0.118966E-01  0.436942E-03   0.00000    
  0.301969      0.161214      0.661763      0.299355      0.103721E-01  0.230774E-01  0.651391      0.276278      0.334495E-01  0.100890E-01  0.137775E-01  0.929984E-02  0.283097E-03   0.00000    
  0.331102      0.113395      0.619858      0.264963      0.629148E-02  0.175114E-01  0.613567      0.247452      0.238028E-01  0.611814E-02  0.104648E-01  0.704652E-02  0.173338E-03   0.00000    
  0.363046      0.765088E-01  0.566700      0.228311      0.354458E-02  0.128363E-01  0.563155      0.215474      0.163809E-01  0.344407E-02  0.767762E-02  0.515872E-02  0.100514E-03   0.00000    
  0.398071      0.488262E-01  0.503111      0.190459      0.179593E-02  0.898762E-02  0.501315      0.181471      0.107835E-01  0.174213E-02  0.537974E-02  0.360788E-02  0.538016E-04   0.00000    
  0.436476      0.292957E-01  0.429877      0.152572      0.807994E-03  0.596285E-02  0.429069      0.146610      0.677084E-02  0.781719E-03  0.357152E-02  0.239133E-02  0.262746E-04   0.00000    
