   8317.0000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   87.2328       6.69087       9.46130       6.66335       9.45575      0.275175E-01  0.555439E-02   16.1191       3.56578       3.56174       3.41449       3.09757       2.47953    
  0.109648E-03   83.9655       6.47566       9.14941       6.44701       9.14348      0.286489E-01  0.592079E-02   15.5905       3.45400       3.44969       3.30487       2.99302       2.38892    
  0.120226E-03   80.8570       6.26969       8.85098       6.23984       8.84466      0.298557E-01  0.632630E-02   15.0845       3.34689       3.34230       3.19984       2.89295       2.30251    
  0.131825E-03   77.8116       6.06741       8.55795       6.03632       8.55120      0.310957E-01  0.674973E-02   14.5875       3.24164       3.23677       3.09665       2.79467       2.21778    
  0.144543E-03   74.8566       5.87042       8.27262       5.83804       8.26542      0.323836E-01  0.719882E-02   14.1035       3.13908       3.13389       2.99609       2.69896       2.13545    
  0.158489E-03   72.0214       5.68049       7.99757       5.64675       7.98988      0.337418E-01  0.768710E-02   13.6366       3.04008       3.03456       2.89902       2.60667       2.05630    
  0.173779E-03   69.2443       5.49398       7.72749       5.45885       7.71930      0.351363E-01  0.819586E-02   13.1781       2.94282       2.93695       2.80366       2.51603       1.97869    
  0.190545E-03   66.5776       5.31402       7.46693       5.27742       7.45818      0.366031E-01  0.874619E-02   12.7356       2.84886       2.84262       2.71153       2.42856       1.90403    
  0.208928E-03   63.9947       5.13906       7.21362       5.10093       7.20429      0.381310E-01  0.933290E-02   12.3052       2.75743       2.75080       2.62188       2.34350       1.83162    
  0.229085E-03   61.4663       4.96735       6.96502       4.92765       6.95508      0.396989E-01  0.994337E-02   11.8827       2.66764       2.66060       2.53383       2.26000       1.76065    
  0.251186E-03   59.0642       4.80323       6.72742       4.76186       6.71680      0.413697E-01  0.106170E-01   11.4787       2.58169       2.57419       2.44954       2.18017       1.69307    
  0.275420E-03   56.7151       4.64231       6.49444       4.59922       6.48312      0.430884E-01  0.113209E-01   11.0823       2.49735       2.48939       2.36681       2.10187       1.62692    
  0.301992E-03   54.4371       4.48570       6.26768       4.44083       6.25562      0.448716E-01  0.120658E-01   10.6964       2.41518       2.40673       2.28621       2.02565       1.56268    
  0.331127E-03   52.2575       4.33509       6.04957       4.28833       6.03670      0.467545E-01  0.128757E-01   10.3250       2.33603       2.32705       2.20856       1.95230       1.50109    
  0.363073E-03   50.1246       4.18733       5.83558       4.13865       5.82186      0.486878E-01  0.137191E-01   9.96051       2.25833       2.24880       2.13231       1.88032       1.44075    
  0.398101E-03   48.0789       4.04493       5.62928       3.99421       5.61466      0.507195E-01  0.146288E-01   9.60887       2.18332       2.17320       2.05868       1.81090       1.38278    
  0.436509E-03   46.1022       3.90681       5.42913       3.85397       5.41353      0.528384E-01  0.155989E-01   9.26750       2.11046       2.09972       1.98714       1.74352       1.32667    
  0.478622E-03   44.1691       3.77139       5.23285       3.71638       5.21624      0.550129E-01  0.166076E-01   8.93262       2.03895       2.02758       1.91692       1.67743       1.27174    
  0.524798E-03   42.3359       3.64221       5.04549       3.58488       5.02778      0.573283E-01  0.177166E-01   8.61266       1.97058       1.95851       1.84974       1.61430       1.21953    
  0.575429E-03   40.5465       3.51579       4.86208       3.45608       4.84321      0.597129E-01  0.188763E-01   8.29928       1.90359       1.89080       1.78390       1.55248       1.16851    
