  100.000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   37.9605       3.00597       3.90147       2.98373       3.89809      0.222312E-01  0.338137E-02   6.88182       1.73738       1.73461       1.57959       1.24636      0.583890    
  0.109648E-03   36.9374       2.93463       3.80622       2.91148       3.80260      0.231509E-01  0.361943E-02   6.71408       1.69744       1.69448       1.54199       1.21404      0.566122    
  0.120226E-03   35.9470       2.86540       3.71377       2.84127       3.70989      0.241326E-01  0.388502E-02   6.55116       1.65862       1.65546       1.50544       1.18265      0.548991    
  0.131825E-03   34.9697       2.79704       3.62247       2.77190       3.61831      0.251417E-01  0.416334E-02   6.39020       1.62026       1.61688       1.46931       1.15164      0.532118    
  0.144543E-03   34.0114       2.72990       3.53280       2.70371       3.52834      0.261902E-01  0.445990E-02   6.23205       1.58255       1.57894       1.43379       1.12116      0.515613    
  0.158489E-03   33.0786       2.66444       3.44534       2.63715       3.44056      0.272969E-01  0.478459E-02   6.07770       1.54573       1.54187       1.39908       1.09142      0.499605    
  0.173779E-03   32.1584       2.59981       3.35896       2.57137       3.35384      0.284334E-01  0.512407E-02   5.92521       1.50934       1.50522       1.36478       1.06203      0.483838    
  0.190545E-03   31.2621       2.53675       3.27466       2.50713       3.26917      0.296298E-01  0.549371E-02   5.77629       1.47379       1.46939       1.33124       1.03333      0.468535    
  0.208928E-03   30.3843       2.47494       3.19198       2.44406       3.18609      0.308769E-01  0.588999E-02   5.63015       1.43889       1.43419       1.29831       1.00517      0.453590    
  0.229085E-03   29.5186       2.41392       3.11034       2.38176       3.10403      0.321570E-01  0.630370E-02   5.48580       1.40442       1.39940       1.26576      0.977347      0.438877    
  0.251186E-03   28.6813       2.35482       3.03118       2.32129       3.02442      0.335226E-01  0.676417E-02   5.34571       1.37094       1.36558       1.23413      0.950351      0.424711    
  0.275420E-03   27.8562       2.29653       2.95309       2.26161       2.94585      0.349281E-01  0.724739E-02   5.20745       1.33790       1.33217       1.20290      0.923706      0.410777    
  0.301992E-03   27.0474       2.23936       2.87643       2.20297       2.86867      0.363873E-01  0.776121E-02   5.07164       1.30543       1.29932       1.17219      0.897535      0.397156    
  0.331127E-03   26.2616       2.18375       2.80179       2.14582       2.79347      0.379297E-01  0.832433E-02   4.93929       1.27379       1.26726       1.14223      0.872033      0.383973    
  0.363073E-03   25.4868       2.12891       2.72812       2.08939       2.71921      0.395142E-01  0.891298E-02   4.80860       1.24254       1.23558       1.11263      0.846853      0.371001    
  0.398101E-03   24.7327       2.07549       2.65629       2.03431       2.64673      0.411811E-01  0.955240E-02   4.68105       1.21203       1.20461       1.08370      0.822278      0.358423    
  0.436509E-03   23.9954       2.02325       2.58593       1.98033       2.57569      0.429211E-01  0.102387E-01   4.55602       1.18213       1.17421       1.05532      0.798195      0.346162    
  0.478622E-03   23.2686       1.97175       2.51652       1.92704       2.50556      0.447080E-01  0.109549E-01   4.43260       1.15262       1.14418       1.02728      0.774422      0.334101    
  0.524798E-03   22.5665       1.92199       2.44930       1.87537       2.43755      0.466134E-01  0.117499E-01   4.31292       1.12400       1.11499       1.00005      0.751374      0.322507    
  0.575429E-03   21.8755       1.87301       2.38307       1.82444       2.37049      0.485774E-01  0.125852E-01   4.19492       1.09578       1.08619      0.973180      0.728653      0.311120    
  0.630945E-03   21.1984       1.82504       2.31809       1.77442       2.30462      0.506153E-01  0.134714E-01   4.07904       1.06808       1.05786      0.946765      0.706342      0.299995    
  0.691816E-03   20.5418       1.77855       2.25496       1.72578       2.24052      0.527734E-01  0.144431E-01   3.96629       1.04114       1.03024      0.921023      0.684641      0.289255    
  0.758561E-03   19.8948       1.73277       2.19270       1.67777       2.17724      0.549914E-01  0.154583E-01   3.85501       1.01455       1.00295      0.895596      0.663226      0.278695    
  0.831745E-03   19.2657       1.68829       2.13205       1.63096       2.11549      0.573242E-01  0.165582E-01   3.74645      0.988625      0.976269      0.870753      0.642339      0.268468    
  0.911989E-03   18.6515       1.64493       2.07276       1.58516       2.05502      0.597640E-01  0.177392E-01   3.64019      0.963263      0.950106      0.846400      0.621899      0.258519    
  0.999975E-03   18.0466       1.60225       2.01432       1.53998       1.99535      0.622706E-01  0.189714E-01   3.53534      0.938249      0.924259      0.822351      0.601735      0.248742    
  0.109645E-02   17.4628       1.56118       1.95783       1.49624       1.93749      0.649443E-01  0.203343E-01   3.43373      0.914036      0.899139      0.798996      0.582204      0.239357    
  0.120223E-02   16.8889       1.52088       1.90225       1.45317       1.88048      0.677051E-01  0.217673E-01   3.33365      0.890202      0.874359      0.775966      0.562971      0.230155    
  0.131822E-02   16.3269       1.48148       1.84776       1.41091       1.82448      0.705690E-01  0.232835E-01   3.23539      0.866819      0.849983      0.753323      0.544091      0.221172    
  0.144540E-02   15.7830       1.44350       1.79497       1.36989       1.77002      0.736094E-01  0.249456E-01   3.13992      0.844135      0.826227      0.731275      0.525759      0.212522    
  0.158485E-02   15.2474       1.40619       1.74296       1.32945       1.71628      0.767368E-01  0.266808E-01   3.04573      0.821775      0.802757      0.709500      0.507678      0.204026    
  0.173775E-02   14.7270       1.37008       1.69238       1.29005       1.66383      0.800271E-01  0.285540E-01   2.95388      0.800000      0.779800      0.688219      0.490052      0.195806    
  0.190540E-02   14.2198       1.33505       1.64306       1.25157       1.61249      0.834766E-01  0.305650E-01   2.86406      0.778745      0.757293      0.667371      0.472827      0.187828    
  0.208923E-02   13.7205       1.30067       1.59450       1.21365       1.56183      0.870239E-01  0.326609E-01   2.77548      0.757802      0.735056      0.646783      0.455844      0.179996    
  0.229079E-02   13.2393       1.26778       1.54766       1.17697       1.51269      0.908115E-01  0.349688E-01   2.68967      0.737567      0.713424      0.626778      0.439405      0.172491    
  0.251180E-02   12.7668       1.23565       1.50169       1.14092       1.46429      0.947313E-01  0.373952E-01   2.60521      0.717682      0.692089      0.607061      0.423235      0.165145    
  0.275413E-02   12.3042       1.20435       1.45668       1.10555       1.41673      0.987986E-01  0.399538E-01   2.52228      0.698188      0.671084      0.587663      0.407365      0.157979    
  0.301984E-02   11.8574       1.17444       1.41324       1.07130       1.37048      0.103131      0.427533E-01   2.44179      0.679326      0.650606      0.568777      0.391978      0.151099    
  0.331118E-02   11.4178       1.14515       1.37050       1.03756       1.32483      0.107593      0.456710E-01   2.36239      0.660750      0.630365      0.550121      0.376808      0.144347    
  0.363064E-02   10.9907       1.11700       1.32904       1.00470       1.28024      0.112293      0.488060E-01   2.28494      0.642678      0.610541      0.531871      0.362026      0.137824    
  0.398091E-02   10.5752       1.08990       1.28876      0.972667       1.23659      0.117236      0.521653E-01   2.20926      0.625069      0.591095      0.513990      0.347598      0.131509    
  0.436498E-02   10.1665       1.06343       1.24917      0.941108       1.19351      0.122325      0.556597E-01   2.13462      0.607731      0.571870      0.496326      0.333378      0.125315    
  0.478610E-02   9.77264       1.03838       1.21114      0.910608       1.15166      0.127770      0.594817E-01   2.06227      0.590989      0.553129      0.479138      0.319619      0.119391    
  0.524785E-02   9.38648       1.01407       1.17393      0.880651       1.11043      0.133421      0.634932E-01   1.99109      0.574552      0.534635      0.462194      0.306100      0.113605    
  0.575415E-02   9.00838      0.990553       1.13757      0.851264       1.06987      0.139289      0.677035E-01   1.92113      0.558434      0.516401      0.445505      0.292830      0.107965    
  0.630929E-02   8.64375      0.968395       1.10269      0.822828       1.03041      0.145567      0.722873E-01   1.85323      0.542843      0.498595      0.429243      0.279985      0.102569    
  0.691799E-02   8.28506      0.946849       1.06847      0.794807      0.991425      0.152043      0.770491E-01   1.78623      0.527480      0.480977      0.413168      0.267326      0.972799E-01
  0.758542E-02   7.93662      0.926376       1.03541      0.767503      0.953278      0.158872      0.821286E-01   1.72078      0.512510      0.463683      0.397417      0.254993      0.921780E-01
  0.831724E-02   7.59792      0.906956       1.00346      0.740872      0.915920      0.166084      0.875429E-01   1.65679      0.497898      0.446694      0.381972      0.242974      0.872543E-01
  0.911966E-02   7.26429      0.888106      0.972123      0.714594      0.878975      0.173513      0.931484E-01   1.59357      0.483475      0.429863      0.366688      0.231119      0.824238E-01
  0.999950E-02   6.93822      0.870278      0.941821      0.688866      0.842657      0.181413      0.991637E-01   1.53152      0.469346      0.413272      0.351649      0.219520      0.777357E-01
  0.109642E-01   6.61962      0.853202      0.912343      0.663614      0.806938      0.189588      0.105406       1.47055      0.455452      0.396910      0.336842      0.208163      0.731850E-01
  0.120220E-01   6.31280      0.837391      0.884232      0.639117      0.772168      0.198274      0.112064       1.41129      0.441924      0.380910      0.322405      0.197193      0.688529E-01
  0.131819E-01   6.01400      0.822547      0.857143      0.615129      0.738058      0.207418      0.119085       1.35319      0.428629      0.365158      0.308226      0.186499      0.646733E-01
  0.144536E-01   5.72290      0.808651      0.831056      0.591611      0.704585      0.217040      0.126470       1.29620      0.415535      0.349647      0.294297      0.176076      0.606418E-01
  0.158481E-01   5.43875      0.795629      0.805892      0.568501      0.671695      0.227129      0.134197       1.24020      0.402599      0.334354      0.280596      0.165902      0.567455E-01
  0.173770E-01   5.16136      0.783473      0.781644      0.545769      0.639379      0.237704      0.142266       1.18515      0.389792      0.319275      0.267121      0.155977      0.529825E-01
  0.190535E-01   4.89117      0.772255      0.758392      0.523417      0.607685      0.248838      0.150707       1.13110      0.377092      0.304429      0.253892      0.146326      0.493639E-01
  0.208917E-01   4.62784      0.761940      0.736099      0.501398      0.576595      0.260542      0.159504       1.07799      0.364456      0.289808      0.240903      0.136942      0.458846E-01
  0.229073E-01   4.37075      0.752455      0.714692      0.479656      0.546069      0.272800      0.168623       1.02572      0.351846      0.275397      0.228138      0.127810      0.425341E-01
  0.251174E-01   4.11976      0.743785      0.694155      0.458157      0.516107      0.285628      0.178048      0.974264      0.339225      0.261197      0.215599      0.118933      0.393114E-01
  0.275406E-01   3.87538      0.735993      0.674560      0.436888      0.486775      0.299105      0.187785      0.923663      0.326548      0.247233      0.203313      0.110340      0.362288E-01
  0.301976E-01   3.63727      0.729024      0.655850      0.415803      0.458060      0.313221      0.197790      0.873863      0.313774      0.233502      0.191277      0.102029      0.332809E-01
  0.331110E-01   3.40499      0.722801      0.637945      0.394856      0.429937      0.327945      0.208007      0.824794      0.300870      0.219996      0.179482      0.939861E-01  0.304593E-01
  0.363055E-01   3.17852      0.717298      0.620814      0.374021      0.402422      0.343278      0.218393      0.776442      0.287801      0.206723      0.167935      0.862193E-01  0.277637E-01
  0.398081E-01   2.95848      0.712553      0.604500      0.353277      0.375602      0.359277      0.228898      0.728878      0.274510      0.193719      0.156675      0.787670E-01  0.252082E-01
  0.436487E-01   2.74465      0.708486      0.588911      0.332596      0.349472      0.375889      0.239439      0.682068      0.260972      0.180985      0.145701      0.716244E-01  0.227865E-01
  0.478598E-01   2.53678      0.705011      0.573951      0.311961      0.324022      0.393050      0.249929      0.635983      0.247178      0.168521      0.135009      0.647835E-01  0.204916E-01
  0.524772E-01   2.33499      0.702075      0.559557      0.291366      0.299279      0.410710      0.260278      0.590645      0.233112      0.156342      0.124613      0.582533E-01  0.183239E-01
  0.575400E-01   2.14020      0.699666      0.545702      0.270820      0.275365      0.428846      0.270337      0.546185      0.218739      0.144501      0.114566      0.520812E-01  0.162985E-01
  0.630913E-01   1.95228      0.697665      0.532249      0.250342      0.252273      0.447323      0.279976      0.502615      0.204084      0.133000      0.104865      0.462578E-01  0.144074E-01
  0.691782E-01   1.77117      0.695960      0.519070      0.229962      0.229999      0.465998      0.289071      0.459961      0.189187      0.121843      0.955118E-01  0.407749E-01  0.126442E-01
  0.758523E-01   1.59716      0.694444      0.506047      0.209728      0.208582      0.484716      0.297465      0.418310      0.174087      0.111051      0.865220E-01  0.356407E-01  0.110084E-01
  0.831703E-01   1.43154      0.692985      0.493030      0.189741      0.188172      0.503244      0.304859      0.377912      0.158835      0.100695      0.779614E-01  0.309060E-01  0.951488E-02
  0.911943E-01   1.27416      0.691396      0.479842      0.170084      0.168744      0.521312      0.311097      0.338829      0.143535      0.907715E-01  0.698202E-01  0.265497E-01  0.815260E-02
  0.999925E-01   1.12369      0.689507      0.466296      0.150755      0.150168      0.538752      0.316128      0.300923      0.128243      0.812281E-01  0.620437E-01  0.225121E-01  0.689635E-02
  0.109639      0.982497      0.687095      0.452260      0.132018      0.132662      0.555077      0.319598      0.264680      0.113155      0.721671E-01  0.547241E-01  0.188629E-01  0.577069E-02
  0.120217      0.851963      0.683758      0.437428      0.114105      0.116377      0.569654      0.321051      0.230482      0.984644E-01  0.636656E-01  0.479263E-01  0.156403E-01  0.478503E-02
  0.131815      0.730983      0.679209      0.421632      0.970782E-01  0.101185      0.582131      0.320447      0.198263      0.842967E-01  0.556739E-01  0.415956E-01  0.127815E-01  0.391526E-02
  0.144533      0.620280      0.672946      0.404603      0.811587E-01  0.871569E-01  0.591787      0.317446      0.168316      0.708667E-01  0.482339E-01  0.357620E-01  0.102920E-01  0.316107E-02
  0.158477      0.519586      0.664553      0.386193      0.664630E-01  0.742553E-01  0.598090      0.311938      0.140718      0.583220E-01  0.413358E-01  0.304083E-01  0.814095E-02  0.251118E-02
  0.173766      0.429475      0.653326      0.366147      0.532103E-01  0.625404E-01  0.600116      0.303607      0.115751      0.468851E-01  0.350180E-01  0.255592E-01  0.632514E-02  0.196320E-02
  0.190530      0.349406      0.638769      0.344404      0.414551E-01  0.519529E-01  0.597314      0.292451      0.934080E-01  0.366485E-01  0.292604E-01  0.211879E-01  0.480657E-02  0.150455E-02
  0.208912      0.279715      0.619983      0.320790      0.313625E-01  0.425381E-01  0.588621      0.278252      0.739005E-01  0.277889E-01  0.240952E-01  0.173119E-01  0.357355E-02  0.113092E-02
  0.229067      0.219560      0.596489      0.295395      0.228796E-01  0.342148E-01  0.573609      0.261180      0.570943E-01  0.202960E-01  0.194905E-01  0.138950E-01  0.258358E-02  0.829196E-03
  0.251167      0.168974      0.567328      0.268225      0.160639E-01  0.270091E-01  0.551264      0.241216      0.430730E-01  0.142458E-01  0.154693E-01  0.109461E-01  0.181810E-02  0.593673E-03
  0.275399      0.126848      0.532265      0.239589      0.107360E-01  0.208196E-01  0.521529      0.218770      0.315555E-01  0.950163E-02  0.119873E-01  0.842054E-02  0.123433E-02  0.411752E-03
  0.301969      0.929091E-01  0.490620      0.209780      0.682306E-02  0.156497E-01  0.483797      0.194130      0.224727E-01  0.601291E-02  0.905500E-02  0.631754E-02  0.810148E-03  0.277145E-03
  0.331102      0.658815E-01  0.442793      0.179363      0.405078E-02  0.113799E-01  0.438742      0.167983      0.154307E-01  0.354356E-02  0.661545E-02  0.458561E-02  0.507224E-03  0.178854E-03
  0.363046      0.452495E-01  0.388960      0.148997      0.225042E-02  0.798835E-02  0.386710      0.141008      0.102388E-01  0.194634E-02  0.466360E-02  0.321379E-02  0.304086E-03  0.110957E-03
  0.398071      0.297268E-01  0.330606      0.119456      0.113602E-02  0.534136E-02  0.329470      0.114114      0.647738E-02  0.965130E-03  0.313072E-02  0.214575E-02  0.170891E-03  0.648894E-04
  0.436476      0.184836E-01  0.269358      0.916050E-01  0.514119E-03  0.336697E-02  0.268844      0.882380E-01  0.388109E-02  0.425491E-03  0.198094E-02  0.135087E-02  0.886282E-04  0.351662E-04
  0.478586      0.108773E-01  0.207992      0.665132E-01  0.208743E-03  0.198293E-02  0.207783      0.645303E-01  0.219168E-02  0.165985E-03  0.117038E-02  0.794771E-03  0.427578E-04  0.177809E-04
