   1.9000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03  0.262248      0.533196      0.880589      0.528118      0.878944      0.507814E-02  0.164572E-02   1.40706      0.528118      0.527366      0.351577       0.00000       0.00000    
  0.109648E-03  0.328018      0.525104      0.866557      0.519680      0.864784      0.542421E-02  0.177295E-02   1.38446      0.519680      0.518870      0.345914       0.00000       0.00000    
  0.120226E-03  0.392155      0.517270      0.852893      0.511461      0.850976      0.580914E-02  0.191649E-02   1.36244      0.511461      0.510586      0.340391       0.00000       0.00000    
  0.131825E-03  0.455636      0.509542      0.839378      0.503330      0.837311      0.621198E-02  0.206766E-02   1.34064      0.503330      0.502386      0.334924       0.00000       0.00000    
  0.144543E-03  0.518176      0.501967      0.826078      0.495326      0.823848      0.664050E-02  0.222975E-02   1.31917      0.495326      0.494309      0.329539       0.00000       0.00000    
  0.158489E-03  0.579458      0.494603      0.813068      0.487494      0.810659      0.710851E-02  0.240890E-02   1.29815      0.487494      0.486396      0.324264       0.00000       0.00000    
  0.173779E-03  0.640128      0.487344      0.800201      0.479746      0.797604      0.759727E-02  0.259708E-02   1.27735      0.479746      0.478562      0.319041       0.00000       0.00000    
  0.190545E-03  0.699628      0.480288      0.787607      0.472160      0.784804      0.812827E-02  0.280376E-02   1.25696      0.472160      0.470882      0.313921       0.00000       0.00000    
  0.208928E-03  0.758233      0.473396      0.775227      0.464699      0.772200      0.869654E-02  0.302701E-02   1.23690      0.464699      0.463320      0.308880       0.00000       0.00000    
  0.229085E-03  0.816257      0.466609      0.762986      0.457320      0.759724      0.928918E-02  0.326110E-02   1.21704      0.457320      0.455835      0.303890       0.00000       0.00000    
  0.251186E-03  0.872923      0.460082      0.751074      0.450135      0.747550      0.994707E-02  0.352461E-02   1.19768      0.450135      0.448530      0.299020       0.00000       0.00000    
  0.275420E-03  0.929020      0.453669      0.739305      0.443032      0.735502      0.106367E-01  0.380262E-02   1.17853      0.443032      0.441301      0.294201       0.00000       0.00000    
  0.301992E-03  0.984350      0.447410      0.727727      0.436041      0.723627      0.113689E-01  0.410014E-02   1.15967      0.436041      0.434176      0.289451       0.00000       0.00000    
  0.331127E-03   1.03862      0.441379      0.716421      0.429209      0.711992      0.121697E-01  0.442949E-02   1.14120      0.429209      0.427195      0.284797       0.00000       0.00000    
  0.363073E-03   1.09238      0.435460      0.705247      0.422454      0.700472      0.130060E-01  0.477546E-02   1.12293      0.422454      0.420283      0.280189       0.00000       0.00000    
  0.398101E-03   1.14521      0.429755      0.694322      0.415843      0.689167      0.139128E-01  0.515465E-02   1.10501      0.415843      0.413500      0.275667       0.00000       0.00000    
  0.436509E-03   1.19729      0.424234      0.683601      0.409349      0.678036      0.148846E-01  0.556490E-02   1.08739      0.409349      0.406822      0.271214       0.00000       0.00000    
  0.478622E-03   1.24891      0.418828      0.673010      0.402930      0.667015      0.158981E-01  0.599509E-02   1.06994      0.402930      0.400209      0.266806       0.00000       0.00000    
  0.524798E-03   1.29947      0.413708      0.662725      0.396687      0.656246      0.170207E-01  0.647823E-02   1.05293      0.396687      0.393748      0.262499       0.00000       0.00000    
  0.575429E-03   1.34956      0.408723      0.652580      0.390524      0.645591      0.181992E-01  0.698883E-02   1.03611      0.390524      0.387355      0.258236       0.00000       0.00000    
  0.630945E-03   1.39907      0.403909      0.642612      0.384461      0.635078      0.194481E-01  0.753411E-02   1.01954      0.384461      0.381047      0.254031       0.00000       0.00000    
  0.691816E-03   1.44775      0.399365      0.632911      0.378550      0.624772      0.208155E-01  0.813860E-02   1.00332      0.378550      0.374863      0.249909       0.00000       0.00000    
  0.758561E-03   1.49605      0.394953      0.623337      0.372710      0.614563      0.222432E-01  0.877353E-02  0.987273      0.372710      0.368738      0.245825       0.00000       0.00000    
  0.831745E-03   1.54366      0.390791      0.614001      0.367003      0.604533      0.237880E-01  0.946783E-02  0.971536      0.367003      0.362720      0.241813       0.00000       0.00000    
  0.911989E-03   1.59071      0.386856      0.604871      0.361411      0.594651      0.254454E-01  0.102201E-01  0.956061      0.361411      0.356790      0.237860       0.00000       0.00000    
  0.999975E-03   1.63743      0.383063      0.595869      0.355889      0.584860      0.271735E-01  0.110088E-01  0.940749      0.355889      0.350916      0.233944       0.00000       0.00000    
  0.109645E-02   1.68339      0.379617      0.587168      0.350534      0.575276      0.290829E-01  0.118923E-01  0.925809      0.350534      0.345165      0.230110       0.00000       0.00000    
  0.120223E-02   1.72903      0.376347      0.578615      0.345258      0.565787      0.310895E-01  0.128273E-01  0.911045      0.345258      0.339472      0.226315       0.00000       0.00000    
  0.131822E-02   1.77428      0.373288      0.570236      0.340077      0.556412      0.332114E-01  0.138236E-01  0.896489      0.340077      0.333847      0.222565       0.00000       0.00000    
