   8317.0000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   89.0895       6.83022       9.71669       6.81372       9.70956      0.164981E-01  0.713212E-02   16.5233       3.64973       3.64708       3.49366       3.16399       2.56882    
  0.109648E-03   85.7499       6.61005       9.39701       6.59258       9.38943      0.174641E-01  0.758059E-02   15.9820       3.53538       3.53256       3.38164       3.05720       2.47522    
  0.120226E-03   82.5728       6.39934       9.09116       6.38082       9.08309      0.185197E-01  0.807422E-02   15.4639       3.42581       3.42280       3.27433       2.95500       2.38595    
  0.131825E-03   79.4603       6.19242       8.79084       6.17280       8.78225      0.196157E-01  0.858838E-02   14.9551       3.31816       3.31495       3.16890       2.85464       2.29840    
  0.144543E-03   76.4403       5.99091       8.49844       5.97014       8.48931      0.207697E-01  0.913196E-02   14.4594       3.21324       3.20982       3.06616       2.75690       2.21332    
  0.158489E-03   73.5428       5.79664       8.21658       5.77463       8.20686      0.220108E-01  0.972016E-02   13.9815       3.11197       3.10833       2.96700       2.66267       2.13153    
  0.173779E-03   70.7047       5.60588       7.93983       5.58259       7.92950      0.232971E-01  0.103316E-01   13.5121       3.01246       3.00859       2.86958       2.57012       2.05132    
  0.190545E-03   67.9795       5.42183       7.67284       5.39716       7.66185      0.246745E-01  0.109900E-01   13.0590       2.91634       2.91222       2.77548       2.48082       1.97415    
  0.208928E-03   65.3400       5.24291       7.41330       5.21678       7.40161      0.261304E-01  0.116893E-01   12.6184       2.82279       2.81841       2.68392       2.39398       1.89929    
  0.229085E-03   62.7562       5.06731       7.15859       5.03967       7.14617      0.276374E-01  0.124153E-01   12.1858       2.73092       2.72626       2.59399       2.30875       1.82592    
  0.251186E-03   60.3016       4.89950       6.91516       4.87022       6.90195      0.292785E-01  0.132116E-01   11.7722       2.64296       2.63800       2.50790       2.22726       1.75605    
  0.275420E-03   57.9011       4.73497       6.67647       4.70399       6.66243      0.309832E-01  0.140416E-01   11.3664       2.55665       2.55137       2.42342       2.14734       1.68764    
  0.301992E-03   55.5733       4.57486       6.44416       4.54208       6.42925      0.327733E-01  0.149167E-01   10.9713       2.47255       2.46693       2.34111       2.06953       1.62120    
  0.331127E-03   53.3462       4.42090       6.22073       4.38620       6.20487      0.346973E-01  0.158634E-01   10.5911       2.39153       2.38556       2.26182       1.99467       1.55749    
  0.363073E-03   51.1667       4.26988       6.00152       4.23319       5.98467      0.366895E-01  0.168467E-01   10.2179       2.31198       2.30563       2.18396       1.92121       1.49508    
  0.398101E-03   49.0763       4.12435       5.79020       4.08553       5.77230      0.388158E-01  0.179022E-01   9.85783       2.23517       2.22842       2.10878       1.85036       1.43509    
  0.436509E-03   47.0565       3.98321       5.58518       3.94215       5.56615      0.410624E-01  0.190230E-01   9.50830       2.16055       2.15338       2.03574       1.78159       1.37703    
  0.478622E-03   45.0813       3.84485       5.38413       3.80146       5.36394      0.433858E-01  0.201857E-01   9.16541       2.08732       2.07970       1.96405       1.71415       1.32019    
  0.524798E-03   43.2081       3.71289       5.19223       3.66699       5.17077      0.459055E-01  0.214559E-01   8.83776       2.01726       2.00917       1.89546       1.64973       1.26614    
  0.575429E-03   41.3798       3.58378       5.00437       3.53526       4.98159      0.485228E-01  0.227801E-01   8.51685       1.94862       1.94003       1.82824       1.58664       1.21332    
  0.630945E-03   39.6080       3.45826       4.82162       3.40700       4.79745      0.512631E-01  0.241724E-01   8.20445       1.88175       1.87264       1.76276       1.52525       1.16206    
  0.691816E-03   37.9182       3.33799       4.64630       3.28378       4.62063      0.542043E-01  0.256768E-01   7.90441       1.81747       1.80779       1.69979       1.46631       1.11305    
  0.758561E-03   36.2664       3.22016       4.47445       3.16291       4.44721      0.572459E-01  0.272375E-01   7.61012       1.75440       1.74414       1.63799       1.40851       1.06508    
  0.831745E-03   34.6842       3.10683       4.30894       3.04635       4.28003      0.604797E-01  0.289066E-01   7.32638       1.69354       1.68265       1.57834       1.35281       1.01904    
  0.911989E-03   33.1595       2.99727       4.14872       2.93338       4.11804      0.638926E-01  0.306775E-01   7.05142       1.63452       1.62298       1.52047       1.29886      0.974591    
  0.999975E-03   31.6702       2.89003       3.99175       2.82261       3.95924      0.674174E-01  0.325121E-01   6.78185       1.57664       1.56441       1.46370       1.24597      0.931120    
  0.109645E-02   30.2607       2.78806       3.84215       2.71684       3.80764      0.712211E-01  0.345069E-01   6.52449       1.52133       1.50836       1.40942       1.19552      0.889862    
  0.120223E-02   28.8879       2.68856       3.69598       2.61339       3.65939      0.751692E-01  0.365854E-01   6.27278       1.46721       1.45348       1.35628       1.14618      0.849626    
  0.131822E-02   27.5588       2.59198       3.55386       2.51269       3.51510      0.792886E-01  0.387632E-01   6.02779       1.41450       1.39998       1.30452       1.09819      0.810604    
  0.144540E-02   26.2957       2.49987       3.41792       2.41617       3.37681      0.836982E-01  0.411110E-01   5.79298       1.36395       1.34857       1.25482       1.05222      0.773421    
  0.158485E-02   25.0625       2.40981       3.28480       2.32156       3.24126      0.882496E-01  0.435424E-01   5.56282       1.31439       1.29812       1.20607       1.00717      0.737075    
  0.173775E-02   23.8831       2.32344       3.15676       2.23037       3.11063      0.930657E-01  0.461303E-01   5.34100       1.26659       1.24938       1.15902      0.963785      0.702233    
  0.190540E-02   22.7501       2.24030       3.03312       2.14216       2.98425      0.981365E-01  0.488705E-01   5.12641       1.22032       1.20213       1.11343      0.921840      0.668692    
  0.208923E-02   21.6448       2.15910       2.91212       2.05573       2.86042      0.103363      0.517038E-01   4.91615       1.17497       1.15576       1.06872      0.880759      0.635930    
  0.229079E-02   20.6012       2.08224       2.79702       1.97328       2.74225      0.108966      0.547645E-01   4.71553       1.13168       1.11138       1.02598      0.841599      0.604900    
  0.251180E-02   19.5873       2.00752       2.68479       1.89275       2.62684      0.114771      0.579486E-01   4.51959       1.08938       1.06795      0.984177      0.803374      0.574710    
  0.275413E-02   18.6067       1.93518       2.57576       1.81437       2.51449      0.120802      0.612703E-01   4.32886       1.04818       1.02559      0.943437      0.766189      0.545456    
  0.301984E-02   17.6784       1.86664       2.47182       1.73941       2.40699      0.127226      0.648350E-01   4.14640       1.00876      0.984926      0.904375      0.730656      0.517685    
  0.331118E-02   16.7734       1.79982       2.37016       1.66598       2.30165      0.133838      0.685161E-01   3.96762      0.970117      0.945012      0.866060      0.695861      0.490575    
  0.363064E-02   15.9095       1.73602       2.27252       1.59523       2.20011      0.140789      0.724090E-01   3.79534      0.932862      0.906423      0.829061      0.662365      0.464629    
  0.398091E-02   15.0823       1.67497       2.17852       1.52690       2.10201      0.148075      0.765130E-01   3.62891      0.896857      0.869028      0.793248      0.630042      0.439732    
  0.436498E-02   14.2766       1.61555       2.08665       1.45999       2.00591      0.155560      0.807430E-01   3.46590      0.861584      0.832331      0.758129      0.598406      0.415450    
  0.478610E-02   13.5177       1.55969       1.99946       1.39618       1.91419      0.163511      0.852696E-01   3.31037      0.827907      0.797156      0.724524      0.568273      0.392509    
  0.524785E-02   12.7825       1.50566       1.91465       1.33395       1.82469      0.171716      0.899607E-01   3.15864      0.795040      0.762752      0.691688      0.538906      0.370250    
  0.575415E-02   12.0721       1.45355       1.83235       1.27336       1.73752      0.180190      0.948244E-01   3.01088      0.763023      0.729158      0.659658      0.510341      0.348706    
  0.630929E-02   11.4026       1.40466       1.75421       1.21552       1.65422      0.189138      0.999981E-01   2.86974      0.732409      0.696902      0.628965      0.483111      0.328348    
  0.691799E-02   10.7508       1.35718       1.67791       1.15887       1.57260      0.198304      0.105314       2.73147      0.702406      0.665231      0.598855      0.456466      0.308509    
  0.758542E-02   10.1297       1.31214       1.60477       1.10429       1.49389      0.207849      0.110880       2.59817      0.673456      0.634567      0.569753      0.430832      0.289567    
  0.831724E-02   9.53716       1.26941       1.53462       1.05164       1.41792      0.217770      0.116696       2.46957      0.645490      0.604851      0.541602      0.406154      0.271469    
  0.911966E-02   8.95912       1.22789       1.46601      0.999991       1.34335      0.227900      0.122652       2.34334      0.618027      0.575618      0.513934      0.381965      0.253802    
  0.999950E-02   8.39985       1.18811       1.39952      0.949666       1.27063      0.238447      0.128889       2.22030      0.591240      0.547022      0.486907      0.358426      0.236704    
  0.109642E-01   7.86407       1.15015       1.33546      0.900920       1.20018      0.249227      0.135282       2.10110      0.565240      0.519207      0.460664      0.335680      0.220305    
  0.120220E-01   7.36395       1.11501       1.27514      0.854599       1.13319      0.260412      0.141948       1.98779      0.540444      0.492588      0.435625      0.314155      0.204976    
  0.131819E-01   6.88647       1.08177       1.21730      0.809854       1.06847      0.271915      0.148829       1.87832      0.516421      0.466750      0.411373      0.293433      0.190345    
  0.144536E-01   6.43056       1.05034       1.16184      0.766622       1.00593      0.283718      0.155912       1.77255      0.493133      0.441665      0.387883      0.273489      0.176385    
  0.158481E-01   5.99395       1.02053       1.10855      0.724756      0.945384      0.295778      0.163168       1.67014      0.470499      0.417265      0.365086      0.254256      0.163033    
  0.173770E-01   5.57602      0.992297       1.05737      0.684220      0.886789      0.308078      0.170581       1.57101      0.448494      0.393540      0.342972      0.235725      0.150277    
  0.190535E-01   5.17787      0.965714       1.00845      0.645105      0.830303      0.320609      0.178143       1.47541      0.427150      0.370544      0.321599      0.217955      0.138161    
