   4.0000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   5.59497      0.835952       1.19896      0.829451       1.19666      0.650089E-02  0.230002E-02   2.02611      0.685236      0.684259      0.512404      0.144215       0.00000    
  0.109648E-03   5.58221      0.823974       1.18091      0.817044       1.17844      0.693029E-02  0.246898E-02   1.99548      0.674811      0.673761      0.504679      0.142233       0.00000    
  0.120226E-03   5.56778      0.812235       1.16319      0.804829       1.16053      0.740612E-02  0.265842E-02   1.96536      0.664585      0.663454      0.497076      0.140244       0.00000    
  0.131825E-03   5.55268      0.800597       1.14560      0.792694       1.14275      0.790327E-02  0.285739E-02   1.93544      0.654441      0.653224      0.489523      0.138253       0.00000    
  0.144543E-03   5.53664      0.789103       1.12821      0.780672       1.12514      0.843097E-02  0.307001E-02   1.90582      0.644413      0.643104      0.482040      0.136258       0.00000    
  0.158489E-03   5.51935      0.777811       1.11109      0.768805       1.10779      0.900547E-02  0.330379E-02   1.87659      0.634545      0.633135      0.474655      0.134261       0.00000    
  0.173779E-03   5.50146      0.766620       1.09410      0.757016       1.09056      0.960448E-02  0.354874E-02   1.84757      0.624754      0.623238      0.467317      0.132261       0.00000    
  0.190545E-03   5.48241      0.755628       1.07737      0.745375       1.07355      0.102533E-01  0.381651E-02   1.81893      0.615115      0.613484      0.460070      0.130260       0.00000    
  0.208928E-03   5.46249      0.744798       1.06084      0.733852       1.05673      0.109459E-01  0.410457E-02   1.79059      0.605594      0.603838      0.452895      0.128258       0.00000    
  0.229085E-03   5.44201      0.734073       1.04444      0.722406       1.04003      0.116671E-01  0.440591E-02   1.76244      0.596150      0.594264      0.445767      0.126255       0.00000    
  0.251186E-03   5.42023      0.723608       1.02835      0.711144       1.02361      0.124645E-01  0.474306E-02   1.73475      0.586891      0.584859      0.438749      0.124253       0.00000    
  0.275420E-03   5.39790      0.713261       1.01240      0.699962       1.00730      0.132988E-01  0.509774E-02   1.70727      0.577711      0.575526      0.431778      0.122251       0.00000    
  0.301992E-03   5.37485      0.703072      0.996637      0.688889      0.991161      0.141827E-01  0.547601E-02   1.68005      0.568639      0.566290      0.424871      0.120250       0.00000    
  0.331127E-03   5.35079      0.693118      0.981140      0.677972      0.975247      0.151460E-01  0.589251E-02   1.65322      0.559721      0.557192      0.418055      0.118251       0.00000    
  0.363073E-03   5.32627      0.683282      0.965772      0.667132      0.959443      0.161501E-01  0.632889E-02   1.62657      0.550877      0.548159      0.411283      0.116254       0.00000    
  0.398101E-03   5.30087      0.673671      0.950650      0.656435      0.943845      0.172355E-01  0.680491E-02   1.60028      0.542175      0.539251      0.404594      0.114261       0.00000    
  0.436509E-03   5.27478      0.664255      0.935733      0.645859      0.928415      0.183954E-01  0.731773E-02   1.57427      0.533589      0.530444      0.397971      0.112270       0.00000    
  0.478622E-03   5.24826      0.654963      0.920946      0.635360      0.913092      0.196029E-01  0.785415E-02   1.54845      0.525077      0.521700      0.391391      0.110282       0.00000    
  0.524798E-03   5.22076      0.645977      0.906470      0.625042      0.898017      0.209348E-01  0.845289E-02   1.52306      0.516741      0.513105      0.384911      0.108301       0.00000    
  0.575429E-03   5.19284      0.637138      0.892137      0.614808      0.883053      0.223300E-01  0.908373E-02   1.49786      0.508485      0.504577      0.378476      0.106323       0.00000    
  0.630945E-03   5.16439      0.628485      0.877986      0.604680      0.868231      0.238051E-01  0.975509E-02   1.47291      0.500330      0.496133      0.372098      0.104350       0.00000    
  0.691816E-03   5.13517      0.620127      0.864112      0.594713      0.853617      0.254137E-01  0.104951E-01   1.44833      0.492329      0.487813      0.365804      0.102384       0.00000    
  0.758561E-03   5.10560      0.611913      0.850371      0.584823      0.839100      0.270901E-01  0.112704E-01   1.42392      0.484401      0.479551      0.359549      0.100422       0.00000    
  0.831745E-03   5.07540      0.603975      0.836878      0.575078      0.824764      0.288977E-01  0.121140E-01   1.39984      0.476610      0.471397      0.353368      0.984681E-01   0.00000    
  0.911989E-03   5.04469      0.596288      0.823604      0.565458      0.810580      0.308308E-01  0.130239E-01   1.37604      0.468936      0.463332      0.347248      0.965214E-01   0.00000    
  0.999975E-03   5.01366      0.588758      0.810466      0.555915      0.796490      0.328425E-01  0.139754E-01   1.35241      0.461336      0.455324      0.341167      0.945792E-01   0.00000    
  0.109645E-02   4.98194      0.581612      0.797648      0.546557      0.782614      0.350551E-01  0.150346E-01   1.32917      0.453908      0.447442      0.335172      0.926485E-01   0.00000    
  0.120223E-02   4.94989      0.574662      0.784990      0.537287      0.768838      0.373748E-01  0.161518E-01   1.30612      0.446564      0.439619      0.329219      0.907236E-01   0.00000    
  0.131822E-02   4.91748      0.567945      0.772518      0.528124      0.755180      0.398214E-01  0.173381E-01   1.28330      0.439318      0.431866      0.323314      0.888057E-01   0.00000    
  0.144540E-02   4.88451      0.561619      0.760350      0.519129      0.741703      0.424897E-01  0.186464E-01   1.26083      0.432230      0.424220      0.317483      0.868994E-01   0.00000    
  0.158485E-02   4.85129      0.555483      0.748325      0.510215      0.728309      0.452687E-01  0.200163E-01   1.23852      0.425216      0.416623      0.311687      0.849986E-01   0.00000    
  0.173775E-02   4.81762      0.549702      0.736566      0.501445      0.715063      0.482564E-01  0.215027E-01   1.21651      0.418337      0.409112      0.305951      0.831080E-01   0.00000    
  0.190540E-02   4.78356      0.544260      0.725051      0.492809      0.701945      0.514515E-01  0.231069E-01   1.19475      0.411582      0.401677      0.300267      0.812269E-01   0.00000    
  0.208923E-02   4.74927      0.539027      0.713686      0.484252      0.688903      0.547743E-01  0.247835E-01   1.17315      0.404901      0.394287      0.294616      0.793514E-01   0.00000    
  0.229079E-02   4.71445      0.534297      0.702671      0.475882      0.676028      0.584149E-01  0.266430E-01   1.15191      0.398393      0.386995      0.289033      0.774890E-01   0.00000    
  0.251180E-02   4.67936      0.529838      0.691839      0.467606      0.663234      0.622323E-01  0.286058E-01   1.13084      0.391972      0.379750      0.283483      0.756332E-01   0.00000    
  0.275413E-02   4.64398      0.525682      0.681212      0.459435      0.650528      0.662471E-01  0.306838E-01   1.10996      0.385650      0.372557      0.277971      0.737847E-01   0.00000    
  0.301984E-02   4.60809      0.522060      0.670932      0.451439      0.637958      0.706202E-01  0.329745E-01   1.08940      0.379492      0.365444      0.272514      0.719479E-01   0.00000    
  0.331118E-02   4.57195      0.518693      0.660816      0.443524      0.625446      0.751688E-01  0.353704E-01   1.06897      0.373408      0.358365      0.267081      0.701161E-01   0.00000    
  0.363064E-02   4.53536      0.515792      0.650996      0.435753      0.613036      0.800395E-01  0.379604E-01   1.04879      0.367459      0.351345      0.261691      0.682934E-01   0.00000    
