   10.000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.331118E-02   7.11480      0.723213      0.853370      0.637234      0.811918      0.859785E-01  0.414524E-01   1.44915      0.467378      0.450376      0.361542      0.169856       0.00000    
  0.363064E-02   6.96336      0.714057      0.837071      0.622753      0.792744      0.913035E-01  0.443279E-01   1.41550      0.458124      0.439979      0.352764      0.164629       0.00000    
  0.398091E-02   6.81341      0.705476      0.821166      0.608507      0.773752      0.969690E-01  0.474139E-01   1.38226      0.449043      0.429680      0.344072      0.159464       0.00000    
  0.436498E-02   6.66431      0.697238      0.805494      0.594399      0.754867      0.102839      0.506268E-01   1.34927      0.440065      0.419439      0.335429      0.154334       0.00000    
  0.478610E-02   6.51705      0.689797      0.790355      0.580596      0.736206      0.109201      0.541486E-01   1.31680      0.431314      0.409316      0.326890      0.149282       0.00000    
  0.524785E-02   6.37067      0.682794      0.775502      0.566950      0.717652      0.115845      0.578501E-01   1.28460      0.422681      0.399251      0.318401      0.144269       0.00000    
  0.575415E-02   6.22520      0.676251      0.760949      0.553468      0.699209      0.122784      0.617401E-01   1.25268      0.414171      0.389244      0.309965      0.139297       0.00000    
  0.630929E-02   6.08110      0.670530      0.746923      0.540258      0.680937      0.130272      0.659866E-01   1.22119      0.405866      0.379327      0.301609      0.134392       0.00000    
  0.691799E-02   5.93753      0.665187      0.733137      0.527166      0.662733      0.138021      0.704039E-01   1.18990      0.397650      0.369446      0.293287      0.129515       0.00000    
  0.758542E-02   5.79481      0.660510      0.719770      0.514276      0.644643      0.146233      0.751267E-01   1.15892      0.389589      0.359625      0.285018      0.124687       0.00000    
  0.831724E-02   5.65266      0.656502      0.706820      0.501573      0.626645      0.154929      0.801742E-01   1.12822      0.381670      0.349850      0.276795      0.119903       0.00000    
  0.911966E-02   5.51074      0.652876      0.694104      0.488971      0.608694      0.163905      0.854099E-01   1.09766      0.373829      0.340099      0.268594      0.115142       0.00000    
  0.999950E-02   5.36874      0.650051      0.681871      0.476551      0.590803      0.173500      0.910683E-01   1.06735      0.366135      0.330379      0.260424      0.110416       0.00000    
  0.109642E-01   5.22696      0.647638      0.669897      0.464236      0.572958      0.183401      0.969386E-01   1.03719      0.358516      0.320681      0.252278      0.105721       0.00000    
  0.120220E-01   5.08522      0.645975      0.658390      0.452097      0.555181      0.193878      0.103210       1.00728      0.351024      0.311014      0.244166      0.101073       0.00000    
  0.131819E-01   4.94297      0.644950      0.647276      0.440080      0.537432      0.204870      0.109844      0.977512      0.343623      0.301359      0.236072      0.964570E-01   0.00000    
  0.144536E-01   4.79990      0.644551      0.636549      0.428172      0.519700      0.216379      0.116848      0.947872      0.336300      0.291710      0.227990      0.918722E-01   0.00000    
  0.158481E-01   4.65578      0.644725      0.626179      0.416350      0.501976      0.228375      0.124203      0.918327      0.329035      0.282060      0.219916      0.873156E-01   0.00000    
  0.173770E-01   4.51034      0.645461      0.616166      0.404602      0.484253      0.240858      0.131912      0.888856      0.321815      0.272406      0.211847      0.827875E-01   0.00000    
  0.190535E-01   4.36311      0.646797      0.606539      0.392920      0.466524      0.253878      0.140015      0.859443      0.314628      0.262742      0.203782      0.782916E-01   0.00000    
  0.208917E-01   4.21375      0.648700      0.597287      0.381283      0.448785      0.267417      0.148502      0.830068      0.307453      0.253067      0.195718      0.738294E-01   0.00000    
  0.229073E-01   4.06209      0.651108      0.588378      0.369673      0.431035      0.281435      0.157343      0.800708      0.300272      0.243380      0.187656      0.694016E-01   0.00000    
  0.251174E-01   3.90784      0.653996      0.579808      0.358076      0.413276      0.295920      0.166531      0.771352      0.293064      0.233679      0.179597      0.650120E-01   0.00000    
  0.275406E-01   3.75041      0.657375      0.571601      0.346472      0.395513      0.310904      0.176087      0.741985      0.285801      0.223968      0.171546      0.606707E-01   0.00000    
  0.301976E-01   3.58962      0.661188      0.563732      0.334843      0.377756      0.326345      0.185976      0.712599      0.278459      0.214248      0.163507      0.563840E-01   0.00000    
  0.331110E-01   3.42548      0.665364      0.556166      0.323173      0.360015      0.342191      0.196151      0.683188      0.271016      0.204528      0.155488      0.521568E-01   0.00000    
