   100.00000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   38.7743       3.06757       4.04151       3.05619       4.03690      0.113790E-01  0.461870E-02   7.09309       1.78295       1.78117       1.61972       1.27324      0.635999    
  0.109648E-03   37.7293       2.99438       3.94313       2.98230       3.93821      0.120793E-01  0.492691E-02   6.92051       1.74203       1.74013       1.58130       1.24027      0.616773    
  0.120226E-03   36.7179       2.92337       3.84769       2.91052       3.84242      0.128489E-01  0.526856E-02   6.75294       1.70227       1.70023       1.54396       1.20825      0.598233    
  0.131825E-03   35.7201       2.85324       3.75344       2.83959       3.74781      0.136501E-01  0.562554E-02   6.58740       1.66297       1.66079       1.50705       1.17662      0.579971    
  0.144543E-03   34.7419       2.78439       3.66089       2.76989       3.65488      0.144964E-01  0.600449E-02   6.42477       1.62434       1.62201       1.47076       1.14555      0.562106    
  0.158489E-03   33.7899       2.71726       3.57064       2.70185       3.56423      0.154112E-01  0.641707E-02   6.26607       1.58662       1.58413       1.43532       1.11523      0.544774    
  0.173779E-03   32.8507       2.65098       3.48153       2.63462       3.47468      0.163617E-01  0.684725E-02   6.10930       1.54935       1.54668       1.40030       1.08527      0.527703    
  0.190545E-03   31.9363       2.58633       3.39458       2.56895       3.38727      0.173842E-01  0.731319E-02   5.95622       1.51292       1.51007       1.36606       1.05603      0.511131    
  0.208928E-03   31.0408       2.52296       3.30932       2.50449       3.30151      0.184694E-01  0.781049E-02   5.80600       1.47717       1.47412       1.33245       1.02733      0.494944    
  0.229085E-03   30.1577       2.46042       3.22515       2.44082       3.21682      0.195955E-01  0.832829E-02   5.65764       1.44184       1.43858       1.29923      0.998987      0.479006    
  0.251186E-03   29.3039       2.39985       3.14356       2.37902       3.13466      0.208295E-01  0.890065E-02   5.51368       1.40753       1.40405       1.26696      0.971491      0.463657    
  0.275420E-03   28.4625       2.34013       3.06309       2.31802       3.05359      0.221152E-01  0.949936E-02   5.37160       1.37366       1.36994       1.23509      0.944356      0.448558    
  0.301992E-03   27.6378       2.28156       2.98410       2.25809       2.97397      0.234701E-01  0.101335E-01   5.23205       1.34038       1.33640       1.20377      0.917706      0.433795    
  0.331127E-03   26.8367       2.22461       2.90722       2.19967       2.89639      0.249349E-01  0.108242E-01   5.09607       1.30793       1.30368       1.17321      0.891743      0.419505    
  0.363073E-03   26.0469       2.16844       2.83135       2.14199       2.81980      0.264558E-01  0.115441E-01   4.96179       1.27588       1.27134       1.14302      0.866110      0.405440    
