   6464.0000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   86.2851       6.61065       9.38597       6.59442       9.37897      0.162369E-01  0.700244E-02   15.9734       3.54062       3.53801       3.38423       3.05380       2.45673    
  0.109648E-03   83.0882       6.39998       9.08057       6.38279       9.07312      0.171897E-01  0.744390E-02   15.4559       3.43102       3.42824       3.27697       2.95177       2.36792    
  0.120226E-03   80.0448       6.19824       8.78821       6.18000       8.78028      0.182312E-01  0.792994E-02   14.9603       3.32593       3.32297       3.17415       2.85407       2.28317    
  0.131825E-03   77.0623       6.00007       8.50107       5.98076       8.49263      0.193127E-01  0.843628E-02   14.4734       3.22265       3.21950       3.07310       2.75811       2.20004    
  0.144543E-03   74.1672       5.80703       8.22140       5.78658       8.21243      0.204515E-01  0.897168E-02   13.9990       3.12196       3.11860       2.97459       2.66462       2.11923    
  0.158489E-03   71.3880       5.62082       7.95168       5.59915       7.94213      0.216766E-01  0.955118E-02   13.5413       3.02472       3.02114       2.87948       2.57443       2.04151    
  0.173779E-03   68.6649       5.43794       7.68679       5.41499       7.67663      0.229464E-01  0.101536E-01   13.0916       2.92916       2.92535       2.78601       2.48584       1.96528    
  0.190545E-03   66.0486       5.26140       7.43112       5.23710       7.42031      0.243064E-01  0.108026E-01   12.6574       2.83679       2.83273       2.69567       2.40031       1.89191    
  0.208928E-03   63.5135       5.08972       7.18248       5.06398       7.17099      0.257442E-01  0.114920E-01   12.2350       2.74687       2.74255       2.60773       2.31711       1.82071    
  0.229085E-03   61.0311       4.92119       6.93841       4.89396       6.92621      0.272327E-01  0.122077E-01   11.8202       2.65853       2.65394       2.52135       2.23543       1.75092    
  0.251186E-03   58.6711       4.76004       6.70502       4.73118       6.69203      0.288541E-01  0.129931E-01   11.4232       2.57390       2.56901       2.43860       2.15728       1.68442    
  0.275420E-03   56.3624       4.60200       6.47611       4.57146       6.46230      0.305384E-01  0.138118E-01   11.0338       2.49084       2.48563       2.35737       2.08062       1.61929    
  0.301992E-03   54.1226       4.44814       6.25324       4.41584       6.23856      0.323075E-01  0.146752E-01   10.6544       2.40987       2.40434       2.27820       2.00597       1.55603    
  0.331127E-03   51.9784       4.30013       6.03878       4.26592       6.02317      0.342094E-01  0.156095E-01   10.2891       2.33183       2.32594       2.20189       1.93410       1.49533    
